名称,纬度,经度,描述,点类别,地址,创建时间
2,39.529992423976196,116.73959215735353,,1,正在解析地址,2024年04月29日 18时24分38秒
3,39.52989852094099,116.73864066244305,,1,河北省廊坊市广阳区北旺镇爱民东道泽源夜市,2024年04月29日 18时25分10秒
8,39.530228725145996,116.73727776416935,,1,正在解析地址,2024年04月29日 18时25分36秒
9,39.53090908662304,116.73743312452045,,1,正在解析地址,2024年04月29日 18时25分48秒
11,39.531376726156175,116.7365486571532,,1,河北省廊坊市广阳区北旺镇东华南路恒庆公寓,2024年04月29日 18时25分59秒
18,39.5338047854506,116.73597619082118,,1,河北省廊坊市广阳区北旺镇东华南路39号廊坊6916仪器厂,2024年04月29日 18时26分15秒
7,39.5299122470753,116.7374881894561,,1,河北省廊坊市广阳区北旺镇爱民东道190号恒庆公寓,2024年05月01日 16时42分50秒
5,39.529586540607525,116.73740514698066,,1,河北省廊坊市广阳区北旺镇东华南路恒庆公寓,2024年05月01日 16时43分07秒
6,39.529827476312406,116.73740645726615,,1,河北省廊坊市广阳区北旺镇东华南路恒庆公寓,2024年05月01日 16时43分16秒
10,39.53110570658093,116.7368903899408,,1,河北省廊坊市广阳区北旺镇东华南路恒庆公寓,2024年05月01日 16时43分31秒
12,39.5315648704666,116.73671613289092,,1,河北省廊坊市广阳区北旺镇东华南路恒庆公寓,2024年05月01日 16时44分02秒
13,39.53203747462287,116.7365432156061,,1,河北省廊坊市广阳区北旺镇东华南路恒庆公寓,2024年05月01日 16时44分12秒
14,39.53230840169269,116.73650298260097,,1,河北省廊坊市广阳区北旺镇恒庆公寓2期,2024年05月01日 16时44分20秒
15,39.53247697372701,116.73641720300812,,1,河北省廊坊市广阳区北旺镇东华南路恒庆公寓,2024年05月01日 16时44分27秒
16,39.532685866578944,116.7363501784098,,1,河北省廊坊市广阳区北旺镇东华南路,2024年05月01日 16时44分36秒
17,39.53333013361864,116.73610890492304,,1,河北省廊坊市广阳区北旺镇东华南路金银滩花园,2024年05月01日 16时56分44秒
16-1,39.53306848992731,116.73623087381773,,1,河北省廊坊市广阳区北旺镇东华南路金银滩花园,2024年05月01日 17时48分59秒
17-1,39.53363725849374,116.73603248949242,,1,河北省廊坊市广阳区北旺镇东华南路37号金银滩花园,2024年05月01日 17时49分11秒
3-1,39.53014326722017,116.74033193136546,,1,河北省廊坊市广阳区北旺镇爱民东道,2024年05月01日 18时00分46秒
